dataset_id,数据集编号,english_file,英文文件,chinese_file,中文文件,rows,行数,columns,列数,source_paths,来源路径
1_2000-2023_1__Sheet1__3d2293c7,1_2000-2023_1__Sheet1__3d2293c7,data_processed/english/1_2000-2023_1__Sheet1__3d2293c7_en.csv,data_processed/english/1_2000-2023_1__Sheet1__3d2293c7_en.csv,data_processed/chinese/1_2000-2023_1__Sheet1__3d2293c7_cn.csv,data_processed/chinese/1_2000-2023_1__Sheet1__3d2293c7_cn.csv,29,29,33,33,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(1)2000-2023年税负水平.xls; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(1)2000-2023年税负水平(1).xls,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(1)2000-2023年税负水平.xls; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(1)2000-2023年税负水平(1).xls
1_2000-2023_1__Sheet2__3d2293c7,1_2000-2023_1__Sheet2__3d2293c7,data_processed/english/1_2000-2023_1__Sheet2__3d2293c7_en.csv,data_processed/english/1_2000-2023_1__Sheet2__3d2293c7_en.csv,data_processed/chinese/1_2000-2023_1__Sheet2__3d2293c7_cn.csv,data_processed/chinese/1_2000-2023_1__Sheet2__3d2293c7_cn.csv,744,744,7,7,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(1)2000-2023年税负水平.xls; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(1)2000-2023年税负水平(1).xls,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(1)2000-2023年税负水平.xls; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(1)2000-2023年税负水平(1).xls
1__Sheet1__33c8af85,1__Sheet1__33c8af85,data_processed/english/1__Sheet1__33c8af85_en.csv,data_processed/english/1__Sheet1__33c8af85_en.csv,data_processed/chinese/1__Sheet1__33c8af85_cn.csv,data_processed/chinese/1__Sheet1__33c8af85_cn.csv,61070,61070,16,16,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/2023市场化指数/计算结果(1).xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/2023市场化指数/计算结果.xlsx,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/2023市场化指数/计算结果(1).xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/2023市场化指数/计算结果.xlsx
1__Sheet1__4cb00b2d,1__Sheet1__4cb00b2d,data_processed/english/1__Sheet1__4cb00b2d_en.csv,data_processed/english/1__Sheet1__4cb00b2d_en.csv,data_processed/chinese/1__Sheet1__4cb00b2d_cn.csv,data_processed/chinese/1__Sheet1__4cb00b2d_cn.csv,744,744,4,4,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/碳排放总量/省级碳排放（萌萌数据屋）(1).xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/碳排放总量/省级碳排放（萌萌数据屋）.xlsx,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/碳排放总量/省级碳排放（萌萌数据屋）(1).xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/碳排放总量/省级碳排放（萌萌数据屋）.xlsx
1__dataset__3f238ebf,1__dataset__3f238ebf,data_processed/english/1__dataset__3f238ebf_en.csv,data_processed/english/1__dataset__3f238ebf_en.csv,data_processed/chinese/1__dataset__3f238ebf_cn.csv,data_processed/chinese/1__dataset__3f238ebf_cn.csv,388,388,3,3,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/战略性新兴产业收入/战略性新兴产业业务收入.xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/战略性新兴产业收入/战略性新兴产业业务收入(1).xlsx,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/战略性新兴产业收入/战略性新兴产业业务收入.xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/战略性新兴产业收入/战略性新兴产业业务收入(1).xlsx
1__dataset__67b0a0e9,1__dataset__67b0a0e9,data_processed/english/1__dataset__67b0a0e9_en.csv,data_processed/english/1__dataset__67b0a0e9_en.csv,data_processed/chinese/1__dataset__67b0a0e9_cn.csv,data_processed/chinese/1__dataset__67b0a0e9_cn.csv,744,744,36,36,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/衡量方式与合并数据.xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/衡量方式与合并数据(1).xlsx,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/衡量方式与合并数据.xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/衡量方式与合并数据(1).xlsx
1__dataset__e9a6b0de,1__dataset__e9a6b0de,data_processed/english/1__dataset__e9a6b0de_en.csv,data_processed/english/1__dataset__e9a6b0de_en.csv,data_processed/chinese/1__dataset__e9a6b0de_cn.csv,data_processed/chinese/1__dataset__e9a6b0de_cn.csv,590,590,7,7,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/2023城镇化率/城镇化率.xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/2023城镇化率/城镇化率(1).xlsx,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/2023城镇化率/城镇化率.xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/2023城镇化率/城镇化率(1).xlsx
1__dataset__fb441ced,1__dataset__fb441ced,data_processed/english/1__dataset__fb441ced_en.csv,data_processed/english/1__dataset__fb441ced_en.csv,data_processed/chinese/1__dataset__fb441ced_cn.csv,data_processed/chinese/1__dataset__fb441ced_cn.csv,5110,5110,7,7,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/2023市场化指数/公司资料.xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/2023市场化指数/公司资料(1).xlsx,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/2023市场化指数/公司资料.xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/2023市场化指数/公司资料(1).xlsx
1__sheet1__3f238ebf,1__sheet1__3f238ebf,data_processed/english/1__sheet1__3f238ebf_en.csv,data_processed/english/1__sheet1__3f238ebf_en.csv,data_processed/chinese/1__sheet1__3f238ebf_cn.csv,data_processed/chinese/1__sheet1__3f238ebf_cn.csv,17641,17641,7,7,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/战略性新兴产业收入/战略性新兴产业业务收入.xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/战略性新兴产业收入/战略性新兴产业业务收入(1).xlsx,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/战略性新兴产业收入/战略性新兴产业业务收入.xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/战略性新兴产业收入/战略性新兴产业业务收入(1).xlsx
2000-2023_-_1__2000-2023__6929449f,2000-2023_-_1__2000-2023__6929449f,data_processed/english/2000-2023_-_1__2000-2023__6929449f_en.csv,data_processed/english/2000-2023_-_1__2000-2023__6929449f_en.csv,data_processed/chinese/2000-2023_-_1__2000-2023__6929449f_cn.csv,data_processed/chinese/2000-2023_-_1__2000-2023__6929449f_cn.csv,7975,7975,15,15,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/产业结构/sj38-地级市产业结构2000-2023/2000-2023地级市产业结构 - 面板.xls; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/产业结构/sj38-地级市产业结构2000-2023/2000-2023地级市产业结构 - 面板(1).xls,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/产业结构/sj38-地级市产业结构2000-2023/2000-2023地级市产业结构 - 面板.xls; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/产业结构/sj38-地级市产业结构2000-2023/2000-2023地级市产业结构 - 面板(1).xls
2000-2023_-_1__2023__6929449f,2000-2023_-_1__2023__6929449f,data_processed/english/2000-2023_-_1__2023__6929449f_en.csv,data_processed/english/2000-2023_-_1__2023__6929449f_en.csv,data_processed/chinese/2000-2023_-_1__2023__6929449f_cn.csv,data_processed/chinese/2000-2023_-_1__2023__6929449f_cn.csv,333,333,15,15,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/产业结构/sj38-地级市产业结构2000-2023/2000-2023地级市产业结构 - 面板.xls; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/产业结构/sj38-地级市产业结构2000-2023/2000-2023地级市产业结构 - 面板(1).xls,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/产业结构/sj38-地级市产业结构2000-2023/2000-2023地级市产业结构 - 面板.xls; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/产业结构/sj38-地级市产业结构2000-2023/2000-2023地级市产业结构 - 面板(1).xls
2000-2023_-_1__dataset__6929449f,2000-2023_-_1__dataset__6929449f,data_processed/english/2000-2023_-_1__dataset__6929449f_en.csv,data_processed/english/2000-2023_-_1__dataset__6929449f_en.csv,data_processed/chinese/2000-2023_-_1__dataset__6929449f_cn.csv,data_processed/chinese/2000-2023_-_1__dataset__6929449f_cn.csv,6,6,1,1,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/产业结构/sj38-地级市产业结构2000-2023/2000-2023地级市产业结构 - 面板.xls; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/产业结构/sj38-地级市产业结构2000-2023/2000-2023地级市产业结构 - 面板(1).xls,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/产业结构/sj38-地级市产业结构2000-2023/2000-2023地级市产业结构 - 面板.xls; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/产业结构/sj38-地级市产业结构2000-2023/2000-2023地级市产业结构 - 面板(1).xls
2000-2023_1__dataset__7476446f,2000-2023_1__dataset__7476446f,data_processed/english/2000-2023_1__dataset__7476446f_en.csv,data_processed/english/2000-2023_1__dataset__7476446f_en.csv,data_processed/chinese/2000-2023_1__dataset__7476446f_cn.csv,data_processed/chinese/2000-2023_1__dataset__7476446f_cn.csv,744,744,7,7,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/2023数字经济专利/2000-2023省级数字专利数据.xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/2023数字经济专利/2000-2023省级数字专利数据(1).xlsx,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/2023数字经济专利/2000-2023省级数字专利数据.xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/2023数字经济专利/2000-2023省级数字专利数据(1).xlsx
2000_-2023_1__Sheet1__e65a4e45,2000_-2023_1__Sheet1__e65a4e45,data_processed/english/2000_-2023_1__Sheet1__e65a4e45_en.csv,data_processed/english/2000_-2023_1__Sheet1__e65a4e45_en.csv,data_processed/chinese/2000_-2023_1__Sheet1__e65a4e45_cn.csv,data_processed/chinese/2000_-2023_1__Sheet1__e65a4e45_cn.csv,744,744,8,8,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/金融发展水平_20250521_174254/2000年-2023年金融发展水平(1).xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/金融发展水平_20250521_174254/2000年-2023年金融发展水平.xlsx,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/金融发展水平_20250521_174254/2000年-2023年金融发展水平(1).xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/金融发展水平_20250521_174254/2000年-2023年金融发展水平.xlsx
2000_-2023_1__Sheet2__e65a4e45,2000_-2023_1__Sheet2__e65a4e45,data_processed/english/2000_-2023_1__Sheet2__e65a4e45_en.csv,data_processed/english/2000_-2023_1__Sheet2__e65a4e45_en.csv,data_processed/chinese/2000_-2023_1__Sheet2__e65a4e45_cn.csv,data_processed/chinese/2000_-2023_1__Sheet2__e65a4e45_cn.csv,744,744,5,5,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/金融发展水平_20250521_174254/2000年-2023年金融发展水平(1).xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/金融发展水平_20250521_174254/2000年-2023年金融发展水平.xlsx,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/金融发展水平_20250521_174254/2000年-2023年金融发展水平(1).xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/金融发展水平_20250521_174254/2000年-2023年金融发展水平.xlsx
2006-2023_1_1__Sheet1__463b5443,2006-2023_1_1__Sheet1__463b5443,data_processed/english/2006-2023_1_1__Sheet1__463b5443_en.csv,data_processed/english/2006-2023_1_1__Sheet1__463b5443_en.csv,data_processed/chinese/2006-2023_1_1__Sheet1__463b5443_cn.csv,data_processed/chinese/2006-2023_1_1__Sheet1__463b5443_cn.csv,558,558,5,5,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/工业机器人安装密度_20250520_153101/工业机器人安装密度(2006-2023年)(1).xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/工业机器人安装密度_20250520_153101/工业机器人安装密度(2006-2023年)(1)(1).xlsx,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/工业机器人安装密度_20250520_153101/工业机器人安装密度(2006-2023年)(1).xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/工业机器人安装密度_20250520_153101/工业机器人安装密度(2006-2023年)(1)(1).xlsx
2007-20024__Sheet10__5091a650,2007-20024__Sheet10__5091a650,data_processed/english/2007-20024__Sheet10__5091a650_en.csv,data_processed/english/2007-20024__Sheet10__5091a650_en.csv,data_processed/chinese/2007-20024__Sheet10__5091a650_cn.csv,data_processed/chinese/2007-20024__Sheet10__5091a650_cn.csv,31,31,2,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/2007-20024各省份指标变化表.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/2007-20024各省份指标变化表.xlsx
2007-20024__Sheet11__5091a650,2007-20024__Sheet11__5091a650,data_processed/english/2007-20024__Sheet11__5091a650_en.csv,data_processed/english/2007-20024__Sheet11__5091a650_en.csv,data_processed/chinese/2007-20024__Sheet11__5091a650_cn.csv,data_processed/chinese/2007-20024__Sheet11__5091a650_cn.csv,31,31,2,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/2007-20024各省份指标变化表.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/2007-20024各省份指标变化表.xlsx
2007-20024__Sheet12__5091a650,2007-20024__Sheet12__5091a650,data_processed/english/2007-20024__Sheet12__5091a650_en.csv,data_processed/english/2007-20024__Sheet12__5091a650_en.csv,data_processed/chinese/2007-20024__Sheet12__5091a650_cn.csv,data_processed/chinese/2007-20024__Sheet12__5091a650_cn.csv,31,31,2,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/2007-20024各省份指标变化表.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/2007-20024各省份指标变化表.xlsx
2007-20024__Sheet13__5091a650,2007-20024__Sheet13__5091a650,data_processed/english/2007-20024__Sheet13__5091a650_en.csv,data_processed/english/2007-20024__Sheet13__5091a650_en.csv,data_processed/chinese/2007-20024__Sheet13__5091a650_cn.csv,data_processed/chinese/2007-20024__Sheet13__5091a650_cn.csv,31,31,2,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/2007-20024各省份指标变化表.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/2007-20024各省份指标变化表.xlsx
2007-20024__Sheet14__5091a650,2007-20024__Sheet14__5091a650,data_processed/english/2007-20024__Sheet14__5091a650_en.csv,data_processed/english/2007-20024__Sheet14__5091a650_en.csv,data_processed/chinese/2007-20024__Sheet14__5091a650_cn.csv,data_processed/chinese/2007-20024__Sheet14__5091a650_cn.csv,31,31,2,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/2007-20024各省份指标变化表.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/2007-20024各省份指标变化表.xlsx
2007-20024__Sheet15__5091a650,2007-20024__Sheet15__5091a650,data_processed/english/2007-20024__Sheet15__5091a650_en.csv,data_processed/english/2007-20024__Sheet15__5091a650_en.csv,data_processed/chinese/2007-20024__Sheet15__5091a650_cn.csv,data_processed/chinese/2007-20024__Sheet15__5091a650_cn.csv,31,31,2,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/2007-20024各省份指标变化表.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/2007-20024各省份指标变化表.xlsx
